Alkon hinnasto 23.09.2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huom.! Hinnastojärjestyskoodilla saat tuoteryhmät takaisin hinnaston järjestykseen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
487307;Cameleon Organic Cabernet Sauvignon 2019;Domaine Bousquet;0,75 l;11.49;15.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Tupungato;;Cabernet Sauvignon, ;Täyteläinen, keskitanniininen, herukkainen, kirsikkainen, karhunvatukkainen, kevyen kaakaoinen, paahteinen;pullo;metallinen kierrekapseli;14.0;5.3;2;;;;80.0;vakiovalikoima;7798101650585
930018;Catena Alta Cabernet Sauvignon 2009;Catena Zapata;0,75 l;39.98;53.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2009;Mendoza;;Cabernet Sauvignon, ;Täyteläinen, tanniininen, boysenmarjainen, eukalyptuksinen, mustaherukkainen;pullo;luonnonkorkki;14.0;4.9;4;;;;80.0;tilausvalikoima;7794450008220
438717;Catena Cabernet Sauvignon 2015;Catena Zapata;0,75 l;15.99;21.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2015;Mendoza;;Cabernet Sauvignon, Cabernet Franc, Petit Verdot, ;Täyteläinen, tanniininen, mustaherukkainen, boysenmarjainen, mustaoliivinen, mustapippurinen, hennon nahkainen;pullo;luonnonkorkki;13.0;4.6;1;;;;70.0;vakiovalikoima;7794450002570
906487;Catena Malbec 2017;Bodega Catena Zapata;0,75 l;18.72;24.96;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;Mendoza;;Malbec, ;Täyteläinen, tanniininen, marjainen, mausteinen;pullo;luonnonkorkki;13.5;5.3;2;;;;80.0;tilausvalikoima;7794450008053
496077;Chakana Nuna Tetrada 2019;Chakana;0,75 l;15.99;21.19;uutuus;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;IG Agrelo;Sisältää sakkaa;Tannat, Cabernet Franc, Malbec, Petit Verdot, ;Täyteläinen, tanniininen, karhunvatukkainen, luumuinen, tumman kirsikkainen, kevyen oliivinen, mustapippurinen, tamminen;pullo;luonnonkorkki;14.0;6.2;2;;;;80.0;erikoiserä;7798108621250
480037;Chakana Nuna Vineyard Cabernet Franc 2018;Proviva;0,75 l;14.50;19.2;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Luján de Cuyo;;Cabernet Franc, ;Täyteläinen, tanniininen, tumman kirsikkainen, kypsän karhunvatukkainen, herukkainen, mustapippurinen, kaakaoinen, kevyen tamminen;pullo;luonnonkorkki;14.0;4.4;5;;;;80.0;vakiovalikoima;7798108621151
410098;Chill Out Malbec Argentina 2018 muovipullo;Altia;1 l;12.98;12.58;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, karhunvatukkainen, luumuinen, kevyen mausteinen;muovipullo;muovisuljin;13.0;4.6;;;;;70.0;vakiovalikoima;6412703011599
923877;Comuna Malbec 2017;Bodega Argento;0,75 l;9.98;13.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, karhunvatukkainen, kirsikkainen, puolukkainen, mausteinen, hennon kukkainen;pullo;metallinen kierrekapseli;12.5;5.2;4;;;;70.0;vakiovalikoima;7798130462814
448847;Domaine Bousquet Ameri Single Vineyard 2015;Domaine Bousquet;0,75 l;32.90;43.73;;110;punaviinit;Roteva & Voimakas;luomu;;Argentiina;Mendoza;2015;Tupungato;;Malbec, Cabernet Sauvignon, Syrah, Merlot, ;Täyteläinen, tanniininen, tumman kirsikkainen, karpaloinen, tummasuklainen, mustapippurinen, tamminen, tasapainoinen;pullo;luonnonkorkki;14.5;5.3;1;;;;80.0;vakiovalikoima;7798101652176
422587;Domaine Bousquet Gaia Organic 2017;Domaine Bousquet;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;Tupungato;;Malbec, Syrah, Cabernet Sauvignon, ;Täyteläinen, tanniininen, tumman kirsikkainen, mustaherukkahilloinen, kevyen luumuinen, mausteinen, tamminen, lämmin;pullo;luonnonkorkki;14.5;5.1;;;;;80.0;vakiovalikoima;7798101652213
945477;Domaine Bousquet Malbec Organic 2019;Domaine Bousquet;0,75 l;11.70;15.47;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2019;Tupungato Valley;;Malbec, ;Keskitäyteläinen, keskitanniininen, kirsikkainen, mustikkainen, punaherukkainen, hennon oliivinen;pullo;metallinen kierrekapseli;14.0;5.2;;;;;80.0;vakiovalikoima;7798101650011
450517;Domaine Bousquet Reserve Organic Malbec 2018;Domaine Bousquet;0,75 l;15.99;21.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Tupungato;;Malbec, ;Täyteläinen, tanniininen, tumman kirsikkainen, kypsän mustaherukkainen, pensasmustikkainen, neilikkainen, tamminen, lämmin;pullo;luonnonkorkki;14.5;5.5;2;;;;80.0;vakiovalikoima;7798101650431
928127;Domaine Bousquet Reserve Organic Pinot Noir 2017;Domaine Bousquet;0,75 l;14.98;19.84;;110;punaviinit;Marjaisa & Raikas;;;Argentiina;Mendoza;2017;;;Pinot Noir, ;Keskitäyteläinen, keskitanniininen, kirsikkainen, marjainen;pullo;luonnonkorkki;14.5;4.8;3;;;;80.0;tilausvalikoima;7798101651506
955194;Doña Paula Estate Malbec 2018;Viña Doña Paula;0,75 l;15.99;21.32;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2018;;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, aromikas, luumuinen, mustikkainen;pullo;luonnonkorkki;14.0;5.9;3;;;;80.0;tilausvalikoima;7798090160065
405507;Doña Paula Syrah 2016;Viña Doña Paula;0,75 l;9.98;13.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2016;Mendoza;Saattaa sisältää sakkaa;Syrah, ;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, luumuinen, mausteinen;pullo;metallinen kierrekapseli;13.5;4.9;;;;;80.0;vakiovalikoima;7798090160492
955287;Elsa Bianchi Malbec 2018;Valentin Bianchi;0,75 l;9.90;13.07;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, marjainen, mausteinen, aromikas;pullo;metallinen kierrekapseli;13.5;5.4;3;;;;80.0;tilausvalikoima;7790703165443
901277;Emma Zuccardi Bonarda 2017;Familia Zuccardi;0,75 l;33.00;44.0;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;Mendoza;Saattaa sisältää sakkaa;Bonarda, ;Täyteläinen, tanniininen, aromikas, mausteinen, kirsikkainen;pullo;luonnonkorkki;13.0;5.7;2;;;;70.0;tilausvalikoima;7791728001730
456707;Famiglia Bianchi Malbec 2017;Valentin Bianchi;0,75 l;12.80;16.93;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2017;San Rafael;;Malbec, ;Täyteläinen, tanniininen, kirsikkahilloinen, boysenmarjainen, luumuinen, mausteinen, tamminen, mokkainen, hennon kanelinen;pullo;luonnonkorkki;14.5;4.7;;;;;80.0;vakiovalikoima;7790703167645
006504;Finca Flichman Caballero de la Cepa Cabernet Sauvignon 2015;Finca Flichman;0,75 l;9.88;13.04;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2015;Mendoza;;Cabernet Sauvignon, ;Keskitäyteläinen, keskitanniininen, karpaloinen, tumman kirsikkainen, yrttinen, kevyen minttuinen, hennon havuinen;pullo;metallinen kierrekapseli;14.0;4.6;;;;;80.0;vakiovalikoima;7790470051000
006404;Finca Flichman Shiraz Roble 2015;Finca Flichman;0,75 l;9.43;12.44;;110;punaviinit;Marjaisa & Raikas;;;Argentiina;Mendoza;2015;Mendoza;;Syrah, ;Keskitäyteläinen, keskitanniininen, kirsikkainen, kypsän karpaloinen, timjaminen, kevyen mausteinen;pullo;metallinen kierrekapseli;12.5;3.9;;;;;70.0;vakiovalikoima;7790470050454
431787;Fuzion Organic Malbec 2019;Fuzion Wines;0,75 l;10.49;13.85;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, mustikkahilloinen, punaherukkainen, kevyen vadelmainen, hennon havuinen;pullo;metallinen kierrekapseli;13.5;5.0;;;;;80.0;vakiovalikoima;7791728019681
458667;Fuzion The Coffee Shop Red Blend 2019;La Agricola;0,75 l;10.99;14.52;;110;punaviinit;Pehmeä & Hedelmäinen;;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa;Malbec, Bonarda, ;Keskitäyteläinen, keskitanniininen, kirsikkahilloinen, metsämansikkainen, mokkainen, maitosuklainen, vaniljainen;pullo;metallinen kierrekapseli;14.0;5.2;11;;;;80.0;vakiovalikoima;7791728010299
462537;Gran Mascota Cabernet Sauvignon 2016;Mascota Vineyards;0,75 l;29.98;39.97;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2016;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, mustaherukkainen, boysenmarjainen, tumman luumuinen, kaakaoinen, tamminen, pitkä;pullo;luonnonkorkki;14.0;5.4;;;;;80.0;vakiovalikoima;7790762053255
480007;Kaiken Estate Malbec 2018;Kaiken;0,75 l;10.99;14.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, mesimarjainen, kirsikkainen, mustikkainen, kevyen neilikkainen, hennon kukkainen;pullo;metallinen kierrekapseli;14.0;5.2;;;;;80.0;vakiovalikoima;7804303555013
495047;La Mascota Dark Bat Syrah 2019;La Mascota;0,75 l;11.98;15.84;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2019;Mendoza;;Syrah, ;Täyteläinen, keskitanniininen, herukkainen, boysenmarjainen, tumman luumuinen, kevyen kaakaoinen, mausteinen;pullo;metallinen kierrekapseli;13.5;5.1;2;;;;80.0;vakiovalikoima;7790762054092
949332;La Mascota Unanime Gran Vino Tinto;La Mascota;0,75 l;24.98;33.31;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, Cabernet Franc, Malbec, ;Täyteläinen, tanniininen, mausteinen;pullo;luonnonkorkki;14.5;5.3;4;;;;80.0;tilausvalikoima;7790762050902
460107;Luigi Bosca Cabernet Franc  2015;Bodega Luigi Bosca;0,75 l;19.98;26.51;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2015;Luján de Cuyo;Saattaa sisältää sakkaa;Cabernet Franc, ;Täyteläinen, tanniininen, hapankirsikkainen, viikunainen, karpaloinen, herukkainen, yrttinen, tamminen;pullo;luonnonkorkki;14.0;5.8;;;;;80.0;vakiovalikoima;7791203001521
430377;Luigi Bosca Cabernet Sauvignon 2017;Luigi Bosca;0,75 l;17.98;23.84;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2017;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, kypsän karpaloinen, hapankirsikkainen, kevyen viikunainen, hennon tallinen, tamminen;pullo;luonnonkorkki;14.0;5.3;;;;;80.0;vakiovalikoima;7791203001248
466907;Luigi Bosca Malbec 2018;Bodega Luigi Bosca;0,75 l;19.98;26.51;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;DOC Luján de Cuyo;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, karhunvatukkahilloinen, hapankirsikkainen, kevyen salmiakkinen, hennon havuinen, lämmin;pullo;luonnonkorkki;14.5;5.1;;;;;80.0;vakiovalikoima;7791203000142
910867;Masi Tupungato Passo Doble 2018;Masi Tupungato;0,75 l;14.80;19.73;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2018;Valle de Uco;;Corvina, Malbec, ;Täyteläinen, keskitanniininen, marjainen, mausteinen;pullo;metallinen kierrekapseli;13.5;5.5;2;;;;80.0;tilausvalikoima;8002062001607
939907;Milamore 2015;Renacer;0,75 l;24.99;33.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2015;Mendoza;;Malbec, Cabernet Sauvignon, Bonarda, Cabernet Franc, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, mansikkainen, mustaherukkainen, luumuhilloinen, mausteinen;pullo;luonnonkorkki;13.5;5.2;8;;;;80.0;vakiovalikoima;7798127724758
415357;Navarro Correas Alegoría Gran Reserva Malbec 2012;Bodega Navarro Correas;0,75 l;22.99;30.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2012;Mendoza;;Malbec, ;Erittäin täyteläinen, tanniininen, tumman kirsikkainen, luumuinen, boysenmarjainen, tummasuklainen, mustapippurinen, tamminen, runsas;pullo;luonnonkorkki;15.0;5.3;;;;;80.0;vakiovalikoima;7790649991250
910697;Navarro Correas Colección Privada Malbec 2019;Bodega Navarro Correas;0,75 l;13.28;17.57;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, boysenmarjainen, kevyen minttuinen, hennon paahteinen;pullo;luonnonkorkki;13.5;4.9;3;;;;80.0;vakiovalikoima;7791250001673
934807;"Navarro Correas Privada Cabernet Sauvignon
 2017";Bodega Navarro Correas;0,75 l;13.28;17.57;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;Mendoza;;Cabernet Sauvignon, ;Täyteläinen, keskitanniininen, mustaherukkainen, kirsikkainen, tamminen;pullo;luonnonkorkki;13.5;5.4;2;;;;80.0;tilausvalikoima;7791250001680
926727;Navarro Correas Reserve Cabernet Sauvignon 2016;Bodega Navarro Correas;0,75 l;16.49;21.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2016;;;Cabernet Sauvignon, ;Täyteläinen, tanniininen, mustaherukkainen, luumuinen, tamminen;pullo;luonnonkorkki;14.0;5.2;2;;;;80.0;tilausvalikoima;7790649000136
955777;Navarro Correas Reserve Malbec 2017;Bodega Navarro Correas;0,75 l;16.49;21.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;;;Malbec, ;Täyteläinen, tanniininen, kirsikkainen, luumuinen, pippurinen;pullo;luonnonkorkki;14.0;5.4;3;;;;80.0;tilausvalikoima;7790649000112
418957;Nicolas Catena Zapata 2014;Catena Zapata;0,75 l;90.13;120.17;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2014;Mendoza;;Cabernet Sauvignon, Malbec, ;Erittäin täyteläinen, tanniininen, mustaherukkainen, tumman kirsikkainen, villivadelmainen, kevyen orvokkinen, mausteinen, tamminen, lämmin, pitkä;pullo;luonnonkorkki;13.5;5.4;2;;;;80.0;erikoiserä;7794450008305
459657;Nieto Senetiner Malbec 2018;Nieto Senetiner;0,75 l;12.50;16.53;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, boysenmarjainen, kirsikkainen, karpaloinen, mausteinen, hennon kukkainen;pullo;metallinen kierrekapseli;13.5;5.5;;;;;80.0;vakiovalikoima;7793440000046
445147;Norton Barrel Select Cabernet Sauvignon 2020;Bodega Norton;0,75 l;12.19;16.12;;110;punaviinit;Mehevä & Hilloinen;soveltuu vegaaneille;;Argentiina;Mendoza;2020;Mendoza;;Cabernet Sauvignon, ;Täyteläinen, keskitanniininen, mustaherukkainen, tumman kirsikkainen, kevyen vadelmainen, mausteinen, hennon salmiakkinen;pullo;metallinen kierrekapseli;14.0;5.5;;;;;80.0;vakiovalikoima;7792319065292
464277;Norton Barrel Select Malbec 2019;Bodega Norton;0,75 l;10.99;14.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, kypsän karpaloinen, mausteinen, kevyen tamminen;pullo;metallinen kierrekapseli;14.0;5.2;;;;;80.0;vakiovalikoima;7792319677792
432417;Norton Privada 2016;Bodega Norton;0,75 l;18.99;25.19;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2016;Mendoza;Saattaa sisältää sakkaa;Malbec, Cabernet Sauvignon, Merlot, ;Täyteläinen, erittäin tanniininen, mustaherukkainen, tumman kirsikkainen, karhunvatukkainen, karpaloinen, hennon nahkainen, mausteinen;pullo;luonnonkorkki;14.5;5.8;;;;;80.0;vakiovalikoima;7792319678027
922217;Norton Reserva Malbec 2018;Bodega Norton;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;soveltuu vegaaneille;;Argentiina;Mendoza;2018;;;Malbec, ;Täyteläinen, tanniininen, karhunvatukkainen, kirsikkainen, kevyen suklainen, hennon setrinen, mausteinen;pullo;luonnonkorkki;14.5;5.5;;;;;80.0;vakiovalikoima;7792319678010
442377;Pascual Toso Cabernet Sauvignon 2015;Pascual Toso;0,75 l;9.98;13.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2015;Mendoza;;Cabernet Sauvignon, ;Täyteläinen, tanniininen, luumuinen, kirsikkahilloinen, kevyen mokkainen, hennon vaniljainen;pullo;metallinen kierrekapseli;13.5;4.7;2;;;;80.0;vakiovalikoima;7791670003431
913707;Paula Malbec 2018;Viña Doña Paula;0,75 l;10.99;14.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, hedelmäinen, mausteinen, aromikas;pullo;metallinen kierrekapseli;13.5;5.2;3;;;;80.0;tilausvalikoima;7798090160461
909812;Pedro Del Castillo Red Blend 2018;Bodega y Cavas de Weinert;0,75 l;12.98;17.17;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2018;Mendoza;;Bonarda, Malbec, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, mustaherukkainen, mausteinen;pullo;metallinen kierrekapseli;13.5;5.8;2;;;;80.0;tilausvalikoima;7790417901504
915664;Renacer Milamore 2015;Bodega Renacer;0,375 l;14.98;39.68;;110;punaviinit;Mehevä & Hilloinen;soveltuu vegaaneille;;Argentiina;Mendoza;2015;Mendoza;;Malbec, Cabernet Franc, Cabernet Sauvignon, Bonarda, ;Keskitäyteläinen, keskitanniininen, herukkainen, tumman kirsikkainen, hennon paprikainen, kevyen mausteinen;pullo;luonnonkorkki;14.0;5.2;6;;;;80.0;vakiovalikoima;7798127727797
946347;Renacer Punto Final Malbec 2019;Renacer;0,75 l;13.99;18.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;;;Malbec, ;Keskitäyteläinen, keskitanniininen, kirsikkainen, mustikkainen, kevyen metsämansikkainen, hennon kukkainen, yrttinen;pullo;luonnonkorkki;14.0;5.2;2;;;;80.0;vakiovalikoima;7798127721757
917645;Renacer Repasso Malbec Blended 2018;Renacer;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, karhunvatukkainen, luumuinen, kukkainen;pullo;luonnonkorkki;14.0;5.2;7;;;;80.0;tilausvalikoima;7798127728077
414647;Ruca Malen Kinien Cabernet Sauvignon 2012;Ruca Malen;0,75 l;25.38;33.71;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2012;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Erittäin täyteläinen, tanniininen, mustaherukkainen, boysenmarjahilloinen, tumman kirsikkainen, kaakaoinen, kevyen setrinen, tamminen, runsas, pitkä;pullo;luonnonkorkki;14.1;5.6;2;;;;80.0;tilausvalikoima;7798090851901
437577;Santa Julia Colección Malbec 2018;Santa Julia;0,75 l;10.00;13.2;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2018;Mendoza;Saattaa sisältää sakkaa;Malbec, Syrah, ;Täyteläinen, keskitanniininen, luumuinen, tumman kirsikkainen, karhunvatukkahilloinen, mausteinen, kevyen kaakaoinen;pullo;metallinen kierrekapseli;13.5;5.2;3;;;;80.0;vakiovalikoima;7791728235333
